Accession	Start	Stop	Size
NZ_RRBJ01000003.1	193419	223467	30048
NZ_CP065948.1	1368646	1398695	30049
NZ_PUEW01000001.1	434300	464349	30049
NZ_RRBN01000003.1	318836	348885	30049
NZ_JAAMRJ010000012.1	18463	48779	30316
NZ_CAKNDP010000001.1	700389	730813	30424
NZ_BAABSN010000001.1	8037	38515	30478
NZ_JACEIX010000004.1	5425	35903	30478
NZ_JYLC01000001.1	6685	37163	30478
NZ_CP053687.1	1995796	2026286	30490
NZ_JAVFGN010000017.1	83857	114347	30490
NZ_VCOX01000005.1	221602	252092	30490
NZ_JABLTZ010000013.1	1668	32236	30568
NZ_JAIGZH010000169.1	2075	32643	30568
NZ_JAIGZK010000142.1	2075	32643	30568
NZ_JAIGZV010000106.1	2075	32643	30568
NZ_NIPI01000075.1	1797	32365	30568
NZ_SCXS01000011.1	27903	58471	30568
NZ_JTTU01000001.1	3520	34199	30679
NZ_JAUZAG010000005.1	128601	159373	30772
NZ_LLUG01000050.1	237654	268426	30772
NZ_QVDY02000034.1	6900	37672	30772
NZ_CP096937.1	4879336	4910299	30963
NZ_NSTX01000013.1	101527	132604	31077
NZ_JAVFCM010000009.1	32646	63824	31178
NZ_JAVFCP010000011.1	32644	63822	31178
NZ_JAVFDF010000017.1	32644	63822	31178
NZ_JAVFDI010000027.1	32645	63823	31178
NZ_JAZBTS010000005.1	32700	63878	31178
NZ_JAZBVH010000008.1	32700	63878	31178
NZ_JAJPLT010000007.1	77869	109069	31200
NZ_LN831024.1	4721967	4753173	31206
NZ_CP012001.1	4722534	4753742	31208
NZ_FUXR01000047.1	157	31365	31208
NZ_JAOXGK010000005.1	170891	202101	31210
NZ_JAPCHR010000029.1	126085	157298	31213
NZ_SDSO01000022.1	128417	159649	31232
NZ_NSXD01000001.1	64374	95632	31258
NZ_RXSZ01000027.1	1426	32795	31369
NZ_RXWA01000071.1	81315	112753	31438
NZ_JAQAQV010000002.1	1336243	1367781	31538
NZ_JBDZZL010000002.1	60043	91610	31567
NZ_JANTQP010000001.1	173419	204987	31568
NZ_RADI01000132.1	173419	204987	31568
NZ_JAHWUY010000002.1	73540	105150	31610
NZ_JAUZBU010000011.1	73736	105346	31610
NZ_JAXCPU010000011.1	72360	103970	31610
NZ_QVBF02000022.1	30837	62447	31610
NZ_JAUAWH010000003.1	645868	677561	31693
NZ_JAUAWJ010000004.1	656586	688279	31693
NZ_JAUAWK010000005.1	4571193	4602887	31694
NZ_JAKRIP010000011.1	1761	33466	31705
NZ_JAKRIR010000008.1	99155	130860	31705
NZ_JAKRIU010000010.1	99287	130992	31705
NZ_JAKRJX010000007.1	161840	193545	31705
NZ_JAWLNG010000011.1	473	32178	31705
NZ_JAJPLB010000003.1	128412	160126	31714
NZ_AYON01000258.1	1	31730	31729
NZ_JAZBSJ010000006.1	62484	94216	31732
NZ_JTPW01000029.1	49961	81787	31826
NZ_CP101885.1	1897655	1929482	31827
NZ_JABMEF010000071.1	7794	39621	31827
NZ_JAGFKG010000001.1	138462	170289	31827
NZ_JAIPVO010000003.1	61907	93734	31827
NZ_JAIXIV010000020.1	18652	50479	31827
NZ_JAPZKE010000007.1	61892	93719	31827
NZ_JAQAQW010000001.1	2554908	2586735	31827
NZ_JTMJ01000016.1	61750	93577	31827
NZ_JTOF01000014.1	55962	87789	31827
NZ_LLQY01000002.1	80934	112761	31827
NZ_LYTR01000001.1	153467	185294	31827
NZ_NSOQ01000005.1	62014	93841	31827
NZ_NSTO01000003.1	161009	192836	31827
NZ_NSYR01000008.1	123948	155775	31827
NZ_QFTG01000017.1	6816	38643	31827
NZ_QVBL02000014.1	6723	38550	31827
NZ_VMNU01000017.1	6816	38643	31827
NZ_JAOXGJ010000004.1	60590	92473	31883
NZ_JAIZDZ010000002.1	126868	158803	31935
NZ_JAIHAB010000118.1	118107	150084	31977
NZ_JACWIE010000006.1	164920	196914	31994
NZ_JAHYAM010000009.1	63686	95694	32008
NZ_RAFY01000774.1	73373	105381	32008
NZ_JBGVXB010000018.1	63141	95187	32046
NZ_CAAKMR010000103.1	39018	71129	32111
NZ_SUNF01000005.1	126039	158150	32111
NZ_NSVJ01000007.1	708	32849	32141
NZ_NKYA01000005.1	164760	196939	32179
NZ_NKYB01000007.1	130448	162627	32179
NZ_JAHERO010000002.1	661188	693446	32258
NZ_JAHWAI010000013.1	124778	157036	32258
NZ_FROV01000012.1	4049	36316	32267
NZ_JAPCUZ010000009.1	4080	36347	32267
NZ_JAVFHH010000010.1	62727	94994	32267
NZ_CP133094.1	5203603	5235882	32279
NZ_RWPG01000005.1	103939	136232	32293
NZ_RWPM01000008.1	240615	272908	32293
NZ_CP107257.1	2610494	2642788	32294
NZ_JAFCHB010000001.1	1732979	1765277	32298
NZ_JAFCHC010000001.1	1710446	1742744	32298
NZ_JAFCHD010000001.1	1708101	1740399	32298
NZ_JAFCHH010000001.1	1707604	1739902	32298
NZ_JAFCHK010000001.1	1708105	1740403	32298
NZ_JAHWBB010000007.1	146230	178528	32298
NZ_JAIXIL010000005.1	157234	189532	32298
NZ_JAZIEU010000066.1	155897	188195	32298
NZ_QVAR02000049.1	155	32465	32310
NZ_JAVQRB010000006.1	277527	309876	32349
NZ_JBCIXK010000014.1	5582	37932	32350
NZ_JBJFMU010000002.1	198951	231322	32371
NZ_JBJFMV010000008.1	198951	231322	32371
NZ_JBJFMW010000003.1	198951	231322	32371
NZ_JBJFMX010000008.1	198951	231322	32371
NZ_JBJFMY010000005.1	198951	231322	32371
NZ_JBJFMZ010000002.1	92754	125125	32371
NZ_JBJFNB010000007.1	112570	144941	32371
NZ_JBJFNH010000001.1	198951	231322	32371
NZ_JBDZZU010000018.1	101657	134054	32397
NZ_CP169522.1	66867	99265	32398
NZ_JAVQOZ010000005.1	277527	309935	32408
NZ_JAVQPU010000017.1	120834	153242	32408
NZ_JAVQQF010000019.1	120834	153242	32408
NZ_JAVQQZ010000017.1	120834	153242	32408
NZ_JAVQRC010000006.1	277527	309935	32408
NZ_JAJPTC010000036.1	17456	49882	32426
NZ_JAIXIS010000013.1	27815	60327	32512
NZ_JAIXIW010000012.1	27294	59806	32512
NZ_JTVW01000044.1	5719	38259	32540
NZ_CP068239.1	2167033	2199574	32541
NZ_CP096934.1	2414162	2446703	32541
NZ_CP132995.1	5609596	5642137	32541
NZ_JABUGF010000014.1	61087	93628	32541
NZ_JALJNY010000001.1	62808	95349	32541
NZ_JALJOA010000013.1	9665	42206	32541
NZ_JAMOGV010000002.1	60923	93464	32541
NZ_JAPZKN010000009.1	60923	93464	32541
NZ_JAPZKP010000007.1	60923	93464	32541
NZ_JBGEHD010000012.1	60761	93302	32541
NZ_JBGEHG010000006.1	153320	185861	32541
NZ_JTZL01000043.1	5720	38261	32541
NZ_JBFSER010000006.1	71406	103951	32545
NZ_JAGHMO010000011.1	164744	197312	32568
NZ_JAIZEF010000002.1	199851	232419	32568
NZ_JAJDSE010000024.1	49133	81701	32568
NZ_JAVRME010000004.1	232705	265293	32588
NZ_JASUWB010000001.1	4576898	4609497	32599
NZ_JASUWJ010000001.1	4915724	4948323	32599
NZ_JASUWM010000001.1	5153428	5186027	32599
NZ_FRHY01000104.1	1605	34251	32646
NZ_FRID01000016.1	1610	34256	32646
NZ_FRIF01000106.1	1606	34252	32646
NZ_FRWV01000021.1	1606	34252	32646
NZ_VJNM01000008.1	171074	203741	32667
NZ_JAZIEB010000099.1	11736	44413	32677
NZ_NDFW01000099.1	137267	169954	32687
NZ_JTMS01000009.1	2148	34841	32693
NZ_JAKRGT010000006.1	185637	218354	32717
NZ_JAGFEJ010000010.1	160662	193394	32732
NZ_FRLI01000013.1	28627	61361	32734
NZ_CP176684.1	1540915	1573651	32736
NZ_QVBZ02000019.1	46228	78964	32736
NZ_NIZO01000038.1	187	32932	32745
NZ_QVAT02000011.1	99272	132017	32745
NZ_QVBE02000008.1	94850	127595	32745
NZ_RXVZ01000027.1	73236	105981	32745
NZ_WUDO01000045.1	8268	41013	32745
NZ_JTUB01000019.1	73086	105832	32746
NZ_JAUEEI010000017.1	5758	38541	32783
NZ_JTTK01000039.1	44582	77365	32783
NZ_NOKO01000012.1	61197	93980	32783
NZ_RWOL01000012.1	86222	119005	32783
NZ_RWOM01000012.1	83309	116092	32783
NZ_RWON01000011.1	83602	116385	32783
NZ_JAHERD010000001.1	3933055	3965844	32789
NZ_JAOCEF010000002.1	143321	176110	32789
NZ_JAQAPV010000004.1	124880	157669	32789
NZ_JAZIDX010000027.1	61059	93886	32827
NZ_JAHWVC010000001.1	174508	207337	32829
NZ_JAUZBQ010000020.1	6735	39564	32829
NZ_JAWIWU010000004.1	27222	60051	32829
NZ_JAAVNH010000009.1	40730	73560	32830
NZ_JAOXOZ010000004.1	6184	39014	32830
NZ_JASTYE010000011.1	61852	94682	32830
NZ_MCMF01000003.1	17874	50704	32830
NZ_NSOR01000017.1	6922	39752	32830
NZ_NSYS01000011.1	73829	106659	32830
NZ_RXBH01000009.1	66609	99439	32830
NZ_RXBJ01000001.1	851341	884171	32830
NZ_SMZF01000009.1	61045	93875	32830
NZ_JBIOAK010000001.1	445583	478414	32831
NZ_JAXCON010000001.1	139056	171900	32844
NZ_JAZBSZ010000001.1	183895	216739	32844
NZ_JAODZJ010000006.1	168990	201838	32848
NZ_PPDW01000009.1	164751	197601	32850
NZ_JACWGX010000001.1	4126551	4159403	32852
NZ_LLUN01000001.1	279997	312851	32854
NZ_LZQE01000001.1	280067	312921	32854
NZ_VWQT01000028.1	99504	132362	32858
NZ_JAHWAN010000002.1	51293	84157	32864
NZ_JAFHXE010000065.1	186	33100	32914
NZ_KQ001499.1	93207	126123	32916
NZ_JADQVY010000009.1	141736	174653	32917
NZ_JAPZKT010000007.1	140891	173834	32943
NZ_JAPZMN010000005.1	140891	173834	32943
NZ_JAVFGZ010000002.1	187213	220159	32946
NZ_NDFQ01000089.1	137369	170317	32948
NZ_CP096932.1	5027184	5060139	32955
NZ_CP096953.1	5099592	5132547	32955
NZ_CP096958.1	5153712	5186667	32955
NZ_CP132997.1	4931726	4964681	32955
NZ_JAMOGZ010000002.1	762738	795693	32955
NZ_JAMOHB010000005.1	272986	305941	32955
NZ_JANGZX010000038.1	275146	308101	32955
NZ_JAPZKQ010000010.1	95836	128791	32955
NZ_JAPZKR010000006.1	141316	174271	32955
NZ_JAZFNJ010000005.1	153861	186816	32955
NZ_JBGEHC010000013.1	103986	136941	32955
NZ_JBGEHI010000006.1	156502	189457	32955
NZ_JBHNZT010000022.1	1224	34179	32955
NZ_JBHNZU010000020.1	102158	135113	32955
NZ_JAZBUI010000010.1	73206	106193	32987
NZ_JAGFDP010000006.1	111249	144241	32992
NZ_JAVFEN010000015.1	118149	151147	32998
NZ_CP029148.1	4281058	4314058	33000
NZ_CP050147.1	5037142	5070142	33000
NZ_CP082821.1	5298069	5331069	33000
NZ_CP082823.1	5349990	5382990	33000
NZ_CP093022.1	5037149	5070149	33000
NZ_CP132352.1	5263647	5296647	33000
NZ_CP146218.1	4961605	4994605	33000
NZ_CP155048.1	5251425	5284425	33000
NZ_CTFK01000070.1	98290	131290	33000
NZ_JAHYBP010000006.1	95427	128427	33000
NZ_JAJDRO010000012.1	102290	135290	33000
NZ_JALPRO010000004.1	72173	105173	33000
NZ_JAZBTB010000002.1	301845	334845	33000
NZ_JAZBUC010000008.1	73192	106192	33000
NZ_JAZBUV010000010.1	73194	106194	33000
NZ_JAZBVF010000008.1	73193	106193	33000
NZ_JTPD01000040.1	48355	81355	33000
NZ_JTUJ01000006.1	72569	105569	33000
NZ_JTXK01000014.1	73057	106057	33000
NZ_KI519243.1	1532513	1565513	33000
NZ_LLPC01000044.1	8249	41249	33000
NZ_LLRR01000020.1	351615	384615	33000
NZ_MCMA01000001.1	873160	906160	33000
NZ_NQWF01000013.1	47365	80365	33000
NZ_NSMP01000001.1	871400	904400	33000
NZ_PSQQ01000001.1	425967	458967	33000
NZ_QHLT01000011.1	21740	54740	33000
NZ_QORB01000153.1	17050	50050	33000
NZ_RABM01000043.1	5631	38631	33000
NZ_LLLW01000031.1	8247	41248	33001
NZ_NIOL01000069.1	99237	132242	33005
NZ_QBEC01000004.1	382823	415831	33008
NZ_JAZIEX010000016.1	83743	116753	33010
NZ_QZXO01000107.1	7940	40951	33011
NZ_CAXSGF010000004.1	61730	94743	33013
NZ_NSRE01000008.1	156936	189951	33015
NZ_LSQN01000069.1	139558	172576	33018
NZ_MPCQ01000014.1	73011	106029	33018
NZ_JAFBYY010000012.1	60965	93986	33021
NZ_NDFR01000073.1	99618	132643	33025
NZ_NDFS01000078.1	137246	170271	33025
NZ_NDFT01000082.1	152353	185378	33025
NZ_NDFU01000080.1	152353	185378	33025
NZ_NDFV01000089.1	137258	170283	33025
NZ_NDFX01000072.1	152353	185378	33025
NZ_NDFY01000068.1	152353	185378	33025
NZ_RWPE01000006.1	278858	311883	33025
NZ_RWPF01000005.1	279736	312761	33025
NZ_RWPH01000007.1	193302	226327	33025
NZ_RWPI01000004.1	279535	312560	33025
NZ_RWPJ01000006.1	279738	312763	33025
NZ_RWPK01000004.1	312746	345771	33025
NZ_RWPN01000003.1	279058	312083	33025
NZ_RWPO01000006.1	280099	313124	33025
NZ_RWQF01000004.1	308506	341531	33025
NZ_RWQG01000005.1	278858	311883	33025
NZ_RWQH01000005.1	279679	312704	33025
NZ_RWQI01000003.1	279058	312083	33025
NZ_RWQJ01000005.1	278862	311887	33025
NZ_RWQK01000005.1	279583	312608	33025
NZ_RWQL01000004.1	305098	338123	33025
NZ_CP027166.1	3458570	3491605	33035
NZ_JAVQOT010000004.1	36869	69905	33036
NZ_JAVQOU010000004.1	36869	69905	33036
NZ_JAUKUF010000049.1	17983	51030	33047
NZ_JAUKUE010000038.1	28293	61341	33048
NZ_JAWLOK010000013.1	137255	170303	33048
NZ_JAZEWQ010000354.1	7936	40984	33048
NZ_JBHOAD010000013.1	152410	185458	33048
NZ_LLLM01000001.1	540127	573175	33048
NZ_NTAR01000004.1	542253	575301	33048
NZ_WOAF01000002.1	555586	588634	33048
NZ_JAUEFY010000005.1	137150	170205	33055
NZ_NFGC01000017.1	60551	93606	33055
NZ_CP093016.1	5689224	5722291	33067
NZ_JABKRH010000003.1	141604	174671	33067
NZ_JAHVNF010000008.1	171013	204080	33067
NZ_FRIA01000046.1	7922	41017	33095
NZ_FRIB01000033.1	30711	63806	33095
NZ_FRWU01000049.1	30717	63812	33095
NZ_UATV01000018.1	652424	685526	33102
NZ_LLRQ01000066.1	351463	384580	33117
NZ_LYTT01000017.1	72883	106000	33117
NZ_JAQOUH010000007.1	141599	174758	33159
NZ_LORB01000097.1	17391	50550	33159
NZ_CP032257.1	5855733	5888896	33163
NZ_UAUC01000002.1	274242	307428	33186
NZ_CP029089.1	290391	323578	33187
NZ_CP054591.1	1407521	1440708	33187
NZ_CP056774.1	535402	568589	33187
NZ_CP135096.1	2491875	2525062	33187
NZ_JABTBW010000027.1	60803	93990	33187
NZ_JABTBY010000007.1	60963	94150	33187
NZ_JABTCD010000016.1	60986	94173	33187
NZ_JACWGQ010000001.1	433918	467105	33187
NZ_JACWGV010000002.1	1901563	1934750	33187
NZ_JAECSD010000062.1	2821	36008	33187
NZ_JAECSQ010000046.1	2821	36008	33187
NZ_JAFMZE010000014.1	60996	94183	33187
NZ_JAHWAK010000005.1	151801	184988	33187
NZ_JAIPSL010000052.1	2759	35946	33187
NZ_JAIXIZ010000008.1	60985	94172	33187
NZ_JALGAK010000022.1	11303	44490	33187
NZ_JALGAO010000014.1	11315	44502	33187
NZ_JALLCC010000016.1	60769	93956	33187
NZ_JALLCV010000010.1	60768	93955	33187
NZ_JAMKEK010000015.1	61035	94222	33187
NZ_JAMKXZ010000006.1	61035	94222	33187
NZ_JANUWS010000071.1	60781	93968	33187
NZ_JANUXE010000064.1	60781	93968	33187
NZ_JAOXPJ010000014.1	60985	94172	33187
NZ_JAUEFC010000013.1	148389	181576	33187
NZ_JAVQQT010000010.1	60769	93956	33187
NZ_JAZEWE010000027.1	38037	71224	33187
NZ_JAZEWI010000088.1	10497	43684	33187
NZ_JAZEWL010000065.1	21945	55132	33187
NZ_JAZEWP010000012.1	2901	36088	33187
NZ_JAZHAB010000006.1	61035	94222	33187
NZ_JBCIVR010000004.1	14195	47382	33187
NZ_JBCIXE010000013.1	15976	49163	33187
NZ_JBCIXQ010000006.1	66229	99416	33187
NZ_JBCIYM010000002.1	41518	74705	33187
NZ_JTRM01000007.1	60803	93990	33187
NZ_MPBN01000001.1	687987	721174	33187
NZ_NFFR01000006.1	61035	94222	33187
NZ_NRBT01000017.1	60795	93982	33187
NZ_NRBV01000007.1	60887	94074	33187
NZ_NRBY01000005.1	60808	93995	33187
NZ_NWBV01000080.1	2843	36030	33187
NZ_NWBW01000002.1	60791	93978	33187
NZ_VMNM01000015.1	13693	46880	33187
NZ_VTBD01000010.1	60846	94033	33187
NZ_CP089065.2	2375303	2408511	33208
NZ_JASTXO010000023.1	157	33398	33241
NZ_JBALJD010000004.1	320408	353657	33249
NZ_MCMS01000001.1	201468	234728	33260
NZ_JAVFGM010000001.1	822892	856159	33267
NZ_JAKVDL010000001.1	4861338	4894610	33272
NZ_JTQO01000044.1	6462	39734	33272
NZ_MCMB01000013.1	61209	94481	33272
NZ_NSMQ01000013.1	61209	94481	33272
NZ_NSVC01000007.1	273266	306555	33289
NZ_JAOUTE010000007.1	164792	198087	33295
NZ_JASTXA010000007.1	69946	103251	33305
NZ_JAXCMO010000008.1	158362	191667	33305
NZ_JACCII010000005.1	163061	196384	33323
NZ_JAHYAH010000001.1	163083	196406	33323
NZ_JAHYAP010000009.1	27260	60583	33323
NZ_JAHYAW010000008.1	14555	47878	33323
NZ_JAHYBF010000002.1	144357	177680	33323
NZ_JAHYBG010000002.1	132905	166228	33323
NZ_JAHYBK010000038.1	4849	38172	33323
NZ_JAHYBQ010000006.1	163133	196456	33323
NZ_JAJAUC010000006.1	145861	179184	33323
NZ_JAVQPE010000011.1	56676	89999	33323
NZ_JBHMGF010000006.1	162979	196302	33323
NZ_JBIDIJ010000009.1	162978	196301	33323
NZ_JBIDIN010000001.1	145818	179141	33323
NZ_JBIDIQ010000001.1	145818	179141	33323
NZ_CP131782.1	1791150	1824492	33342
NZ_NQZX01000017.1	51101	84464	33363
NZ_LLTF01000250.1	153	33541	33388
NZ_JAJPMV010000002.1	749552	782950	33398
NZ_CP045768.1	3823273	3856680	33407
NZ_JTOV01000061.1	128	33543	33415
NZ_NRBF01000001.1	143430	176852	33422
NZ_RXEP01000010.1	99766	133197	33431
NZ_JAXCOI010000007.1	164680	198149	33469
NZ_JAJPSC010000014.1	137199	170675	33476
NZ_LLVE01000002.1	141789	175265	33476
NZ_PTLX01000002.1	139240	172716	33476
NZ_AP017302.1	2907517	2940994	33477
NZ_JAPCTY010000015.1	25885	59369	33484
NZ_JASKWY010000026.1	170788	204272	33484
NZ_LLUC01000049.1	169090	202574	33484
NZ_JAZBTM010000003.1	115462	148969	33507
NZ_LLLT01000001.1	558079	591586	33507
NZ_RWSV01000002.1	174611	208118	33507
NZ_RWSW01000001.1	165090	198597	33507
NZ_RXEA01000002.1	169368	202876	33508
NZ_JAGHMR010000002.1	207362	240872	33510
NZ_JAHVZQ010000003.1	655364	688900	33536
NZ_RWPR01000015.1	1940	35480	33540
NZ_JACYDW010000002.1	51594	85136	33542
NZ_LRYU01000015.1	13348	46904	33556
NZ_LRYV01000018.1	13348	46904	33556
NZ_RACP01000091.1	79605	113168	33563
NZ_RACQ01000126.1	17402	50965	33563
NZ_JAIPSU010000016.1	42721	76288	33567
NZ_JAFBZE010000007.1	60474	94064	33590
NZ_JALLDG010000006.1	125888	159482	33594
NZ_CANDNV010000001.1	5270288	5303891	33603
NZ_JBIOAX010000005.1	61327	94937	33610
NZ_CP033835.1	1848692	1882308	33616
NZ_JTZI01000027.1	73013	106629	33616
NZ_JYGB02000006.1	71280	104896	33616
NZ_LOHJ01000024.1	71319	104935	33616
NZ_CP131780.1	5290455	5324074	33619
NZ_NSWR01000012.1	61259	94888	33629
NZ_NQZN01000046.1	5752	39388	33636
NZ_LLPY01000074.1	293738	327379	33641
NZ_QZYE01000093.1	1	33644	33643
NZ_JAKEVX010000038.1	99949	133609	33660
NZ_JAUAWI010000010.1	1574299	1607959	33660
NZ_JACEVB010000010.1	173439	207107	33668
NZ_JAIXIH010000006.1	72657	106342	33685
NZ_JAKGUO010000006.1	85007	118692	33685
NZ_JAKGUP010000004.1	85001	118686	33685
NZ_JAKGUQ010000006.1	85001	118686	33685
NZ_JAKGUS010000004.1	85014	118699	33685
NZ_JAKGUT010000001.1	85001	118686	33685
NZ_RXFA01000003.1	139447	173132	33685
NZ_CP115203.1	3461317	3495003	33686
NZ_FRHJ01000079.1	17946	51643	33697
NZ_FRWL01000013.1	28208	61905	33697
NZ_AEVV03000009.1	60093	93793	33700
NZ_JACEPJ010000001.1	146587	180287	33700
NZ_JACEQB010000013.1	60130	93830	33700
NZ_JAIGZS010000134.1	59742	93442	33700
NZ_JAIGZU010000139.1	60010	93710	33700
NZ_JAIGZZ010000137.1	59741	93441	33700
NZ_JAKLAL010000013.1	59748	93448	33700
NZ_JAOXPA010000008.1	156882	190582	33700
NZ_JAPEVL010000001.1	3820936	3854636	33700
NZ_JASMQT010000013.1	59698	93398	33700
NZ_JASMQY010000012.1	59698	93398	33700
NZ_JASMRA010000012.1	60006	93706	33700
NZ_JAUEFH010000001.1	29096	62796	33700
NZ_JAUEFO010000012.1	59698	93398	33700
NZ_JAUEFX010000014.1	42572	76272	33700
NZ_JAVQPM010000013.1	59621	93321	33700
NZ_JTSG01000011.1	59642	93342	33700
NZ_JTSY01000028.1	59642	93342	33700
NZ_JTVF01000016.1	92401	126101	33700
NZ_JTYS01000014.1	59642	93342	33700
NZ_LRYI01000007.1	60051	93751	33700
NZ_MPVI01000140.1	15489	49189	33700
NZ_NFGD01000011.1	59793	93493	33700
NZ_NFGK01000010.1	59843	93543	33700
NZ_NIOY01000051.1	60006	93706	33700
NZ_NSOS01000004.1	60187	93887	33700
NZ_NSYN01000011.1	71940	105640	33700
NZ_SCWI01000019.1	59920	93620	33700
NZ_SCWX01000018.1	975	34675	33700
NZ_SCYU01000018.1	35441	69141	33700
NZ_LLNB01000005.1	60134	93835	33701
NZ_JBAKYD010000013.1	21712	55415	33703
NZ_JBCNXW010000023.1	39215	72918	33703
NZ_JBEQJO010000029.1	38774	72477	33703
NZ_JBHOJK010000029.1	39215	72918	33703
NZ_JTOO01000037.1	39236	72939	33703
NZ_JTUS01000011.1	39236	72939	33703
