Accession	Start	Stop	Size
NZ_RAAL01000198.1	1	19999	19998
NZ_JTUD01000004.1	269175	289176	20001
NZ_CP065374.1	1531506	1551622	20116
NZ_CP065948.1	3260551	3280667	20116
NZ_JAIXIT010000012.1	64666	84941	20275
NZ_UGUJ01000005.1	1929467	1949900	20433
NZ_JVET01000048.1	2029	22563	20534
NZ_RWLQ01000009.1	242555	263397	20842
NZ_CP056090.1	3392430	3413654	21224
NZ_CP046404.1	4763119	4784354	21235
NZ_CP081346.1	4793669	4814905	21236
NZ_CP110190.1	4603049	4624285	21236
NZ_CP120706.1	4545686	4566922	21236
NZ_JAHEQO010000001.1	5524437	5545839	21402
NZ_JAQAQR010000001.1	5524428	5545830	21402
NZ_KI518793.1	3419837	3441275	21438
NZ_NRCF01000037.1	22034	43969	21935
NZ_NRCC01000067.1	22031	43967	21936
NZ_VNMD01000037.1	10942	32934	21992
NZ_CP027172.1	2109625	2131682	22057
NZ_JAKGVF010000012.1	66336	88530	22194
NZ_CP097560.1	3443308	3466502	23194
NZ_CP008856.2	4509062	4532357	23295
NZ_CP109849.1	3524362	3547689	23327
NZ_JAPEVM010000001.1	3638339	3661666	23327
NZ_SSDD01000043.1	11129	34485	23356
NC_023149.1	3321120	3344507	23387
NZ_KI519134.1	283370	306757	23387
NZ_JTQX01000017.1	1	23428	23427
NZ_AZBO01000077.1	11336	34774	23438
NZ_QVEC02000026.1	1	23463	23462
NZ_LLNS01000015.1	100768	124242	23474
NZ_QZZQ01000092.1	100126	123601	23475
NZ_QZZS01000197.1	101760	125235	23475
NZ_QZZU01000081.1	100710	124185	23475
NZ_QZZZ01000056.1	100527	124002	23475
NZ_RAAC01000023.1	101245	124720	23475
NZ_RAAE01000084.1	115594	139069	23475
NZ_RAAF01000227.1	100203	123678	23475
NZ_RAAI01000008.1	52464	75939	23475
NZ_RAAO01000066.1	100228	123703	23475
NZ_RAAP01000016.1	134620	158095	23475
NZ_JACWID010000010.1	1	23535	23534
NZ_SGUI01000079.1	1	23535	23534
NZ_RXUI01000030.1	318163	341858	23695
NZ_CP115285.1	2506302	2530587	24285
NZ_JTPB01000054.1	1	24379	24378
NZ_JTMB01000038.1	1	24380	24379
NZ_CBMS010000031.1	1	24610	24609
NZ_CBMT010000044.1	1	24610	24609
NZ_CBMU010000036.1	1	24610	24609
NZ_CBMP010000037.1	1	24612	24611
NZ_CP071730.1	1384236	1409317	25081
NZ_CP071731.1	1384227	1409308	25081
NZ_CP115964.1	1383967	1409048	25081
NZ_LSAH01000001.1	1	25152	25151
NZ_JAFCHB010000001.1	2096342	2121810	25468
NZ_JAFCHC010000001.1	2073537	2099079	25542
NZ_JAHERJ010000002.1	785553	811108	25555
NZ_CP028330.1	5067220	5092777	25557
NZ_JAFCHD010000001.1	2071782	2097424	25642
NZ_JAFCHH010000001.1	2070767	2096540	25773
NZ_LLUW01000004.1	1	25863	25862
NZ_JVWH01000386.1	1	25870	25869
NZ_NRFV01000002.1	320093	346184	26091
NZ_FROX01000020.1	1	26099	26098
NZ_FRSK01000160.1	1	26099	26098
NZ_FRPE01000123.1	1	26103	26102
NZ_CP020703.1	3303351	3329534	26183
NZ_CP020704.1	3303359	3329542	26183
NZ_CP031876.1	3384972	3411155	26183
NZ_CP031877.1	3518923	3545106	26183
NZ_CP031878.1	3012924	3039107	26183
NZ_LLQJ01000012.1	1	26184	26183
NZ_LRYT01000001.1	1	26289	26288
NZ_WUDC01000016.1	1	26298	26297
NZ_WUDE01000008.1	1	26298	26297
NZ_CP138326.1	170294	196673	26379
